,Date,Open,Volume,price action_bearish,price action_bullish,Negativity,Neutrality,Positivity,Number of tweets
201,2020-10-19,148.746674,108863400,1,0,0.1855395426922651,0.6515634602815645,0.1628969933635101,116
202,2020-10-20,143.916672,94968900,1,0,0.12851754296811796,0.7099719017997578,0.16151056186998347,113
203,2020-10-21,140.899994,97111500,0,0,0.14502249051556615,0.6605556736960426,0.19442183113405453,268
204,2020-10-22,147.306671,119979600,1,0,0.14449008817817965,0.6759110441792616,0.1795988615691176,232
205,2020-10-23,140.613327,101151000,0,0,0.11767793028284214,0.6329680713106414,0.24935399841229003,180
206,2020-10-26,137.210007,84717600,0,0,0.14720055310194147,0.6559362563333128,0.1968631893269077,128
207,2020-10-28,138.82666,76354200,1,0,0.14616126624756812,0.6350642219131198,0.21877451357003114,108
208,2020-10-29,136.653336,67965900,0,0,0.17626262906410356,0.6604835517712203,0.16325380650601984,129
209,2020-10-30,135.633331,127533900,0,0,0.15275278582778065,0.667242899306925,0.18000430972763404,112
210,2020-11-02,131.333328,87063300,0,0,0.14018509379464408,0.6167662700976282,0.2430486330561295,94
211,2020-11-03,136.57666,103055100,0,0,0.09946117978998861,0.649363422295395,0.25117540205301575,87
212,2020-11-04,143.539993,96429300,0,0,0.15025878682780205,0.6233834643935267,0.22635775087237767,73
213,2020-11-05,142.766663,85243500,0,0,0.1673306762610871,0.6492971574666712,0.18337216553043467,91
214,2020-11-06,145.366669,65118000,0,0,0.1406354279097869,0.6333751924264879,0.22598939214077357,108
215,2020-11-09,146.5,104499000,0,0,0.14468734951289405,0.6446549940493916,0.2106576547010296,112
216,2020-11-10,140.029999,90852600,0,0,0.11694392806527852,0.6658737956655992,0.21718228800467876,78
217,2020-11-11,138.816666,52073100,0,0,0.14102543596266767,0.6316066660452504,0.22736790202070103,81
218,2020-11-12,138.350006,59565300,0,0,0.13940118137135082,0.678100088917466,0.18249872704199535,82
219,2020-11-13,136.949997,59313300,0,0,0.15970022854887422,0.6712897257564527,0.16901005004316877,101
220,2020-11-16,136.309998,80515800,0,0,0.13190598197888587,0.6375692004391577,0.23052481346195453,163
221,2020-11-17,153.389999,183564900,0,0,0.11156754266623216,0.6746084441438621,0.21382401806690737,236
222,2020-11-18,149.449997,234132000,0,0,0.10005574060497549,0.6529199780827849,0.24702427706936927,216
